COUNTY,POPULATION,Violent Crimes,MURDER,RAPE,ROBBERY,AGGRAV,BURGLARY,LARCENY,MOTOR,ARSON,INDEX,%OF
Baker,3762.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,8.0,
Dougherty,95314.0,602.0,8.0,48.0,227.0,546.0,1589.0,3355.0,320.0,14.0,6107.0,
Lee,34775.0,24.0,0.0,12.0,9.0,12.0,151.0,367.0,31.0,1.0,583.0,
Terrell,10175.0,34.0,0.0,1.0,2.0,33.0,103.0,63.0,5.0,0.0,207.0,
Worth,21139.0,18.0,1.0,2.0,4.0,15.0,207.0,454.0,52.0,0.0,735.0,
Clarke,115741.0,321.0,10.0,44.0,158.0,267.0,1997.0,3776.0,276.0,23.0,6551.0,
Madison,28346.0,100.0,0.0,5.0,7.0,95.0,66.0,440.0,40.0,0.0,653.0,
Oconee,32802.0,81.0,0.0,1.0,1.0,80.0,134.0,332.0,26.0,1.0,575.0,
Oglethorpe,13404.0,25.0,0.0,1.0,4.0,24.0,89.0,132.0,17.0,1.0,268.0,
Barrow,73014.0,257.0,0.0,19.0,21.0,238.0,459.0,1373.0,150.0,10.0,2270.0,
Bartow,96758.0,219.0,6.0,26.0,52.0,187.0,906.0,2406.0,294.0,4.0,3881.0,
Butts,24900.0,62.0,3.0,12.0,14.0,47.0,151.0,422.0,72.0,2.0,723.0,
Carroll,116457.0,784.0,7.0,42.0,67.0,735.0,862.0,2651.0,245.0,15.0,4624.0,
Cherokee,218698.0,140.0,3.0,11.0,29.0,126.0,623.0,2127.0,93.0,10.0,3022.0,
Clayton,276732.0,865.0,18.0,104.0,672.0,743.0,4996.0,6426.0,1669.0,30.0,14658.0,
Cobb,705231.0,1266.0,24.0,121.0,634.0,1121.0,4847.0,11172.0,1469.0,54.0,19442.0,
Coweta,126677.0,206.0,5.0,11.0,46.0,190.0,744.0,1780.0,170.0,6.0,2952.0,
Dawson,22654.0,21.0,2.0,2.0,2.0,17.0,108.0,278.0,29.0,5.0,443.0,
DeKalb,744994.0,1930.0,67.0,183.0,2400.0,1680.0,10523.0,19652.0,5005.0,143.0,39653.0,
Douglas,132021.0,272.0,4.0,14.0,82.0,254.0,826.0,2736.0,274.0,8.0,4198.0,
Fayette,107718.0,50.0,1.0,7.0,20.0,42.0,298.0,1278.0,158.0,3.0,1807.0,
